Name Of The Course ,Institute,Number of learners,Link,Description,Type,Category
protection and control high voltage power circuits, Graham Van Brunt,"6,442",https://alison.com/course/protection-and-control-high-voltage-power-circuits#l-main-pub,"Outline the elements of a substation,  Explain high-voltage switch configuration and elements o,  Describe protection relay schemes, the failur", Certification course,engineering
employment rights and laws in the uk, Learndrive Education,796,https://alison.com/course/employment-rights-and-laws-in-the-uk#l-main-pub,"List the three main sources of employment law in the Uni,  Describe the three main types of workers in the United K,  Outline the key steps of the recruitment proc", Certification course,business
stress management in the workplace, CourseFlix,"4,886",https://alison.com/course/stress-management-in-the-workplace#l-main-pub,"Define ?stress?,  Summarize what can be done to manage stress i,  Explain the various forms that  anxiety can take", Certification course,personal-development
introduction to career coaching, Alpha Academy,"4,479",https://alison.com/course/introduction-to-career-coaching#l-main-pub,"Describe the principles and benefits of coaching,  Explain the relationship between coaching and mentoring", Certification course,personal-development
electric power metering single and 3 phase systems, Graham Van Brunt,"2,477",https://alison.com/course/electric-power-metering-single-and-3-phase-systems#l-main-pub,"Define power and energy,  Summarize how to calculate power consumed by an AC circu,  Describe phasors and their polar and rectangu", Certification course,engineering
introduction to resilience training, Course Cloud,"1,876",https://alison.com/course/introduction-to-resilience-training#l-main-pub,"Outline the process required to deal with adversity and ,  Discuss the important characteristics of positive psycho,  Explain the neurobiology of resilience and th", Certification course,personal-development
compressors and refrigerated containers, ADU,"5,283",https://alison.com/course/compressors-and-refrigerated-containers#l-main-pub,"Describe the working principle of an air-conditioning sy,  Discuss the use of psychrometric charts in managing the ,  State the comfort conditions to be maintained", Certification course,engineering
child psychology the importance of play, Ilbey UÇAR,"3,938",https://alison.com/course/child-psychology-the-importance-of-play#l-main-pub,"Discuss the importance of play and how it can complement,  Describe the opinions and theories of famous psychologis,  Outline the characteristics and classificatio", Certification course,education
critical facility power supply management, NCMCO,"7,915",https://alison.com/course/critical-facility-power-supply-management#l-main-pub,"Discuss utility-based sources of power,  Describe the basics of Critical Facilities, including op,  Understand the fundamental concepts related to power and", Certification course,business
ship cargo handling and ventilation systems, ADU,572,https://alison.com/course/ship-cargo-handling-and-ventilation-systems#l-main-pub,"Explain the process of cargo transportation and the stak,  Recall common items in the cargo hold that need to be us,  Outline the various forces that are acting on", Certification course,management
cargo handling and stowage liner operations, ADU,"2,133",https://alison.com/course/cargo-handling-and-stowage-liner-operations#l-main-pub,"Discuss the liner service of ships,  Analyse container ship types and the current regulatory ,  Describe the experts? views on liner ships", Certification course,engineering
advanced chemistry polymerisation, Advance Learning - Chemistry,790,https://alison.com/course/advanced-chemistry-polymerisation#l-main-pub,"Explain condensation and addition polymerisation,  Define ?polymer?, ?polyamides?, ?polymerisati,  Identify monomers in the polymer section", Certification course,education
intrapersonal and interpersonal communication, Professional Academy,"7,784",https://alison.com/course/intrapersonal-and-interpersonal-communication#l-main-pub,"Discuss intrapersonal communication,  Define the role of interpersonal needs in the,  Define and discuss self-concept", Certification course,personal-development
financial statement analysis accounting ratios and analytical strategy, Willie Du Preez,"1,393",https://alison.com/course/financial-statement-analysis-accounting-ratios-and-analytical-strategy#l-main-pub,"Define the purpose of financial statement analysis and t,  Recognise the key elements an analysis needs to consider,  Identify the stakeholders and users of inform", Certification course,business
child development executive functions, Ilbey UÇAR,"1,325",https://alison.com/course/child-development-executive-functions#l-main-pub,"Define ?executive functions?,  Outline important research carried out in the field of c,  Compare brain and executive function developm", Certification course,education
